id,x,y,ra,dec,flux,flux_err,mag,mag_err,flag,a,b
851,4597.350846777445,3258.9806683559927,80.98841731821092,-7.80657019764437,782149.1675000001,6499.481336806807,-14.73322396846877,0.009022220431527742,0,3.6938297748565674,3.2738730907440186
545,2804.7468686293955,2015.6809456307303,83.85988849788977,-5.910725800514341,754975.9410937502,6524.526507042006,-14.69483278034215,0.009382967406003667,0,4.512581825256348,3.7888362407684326
1036,465.79673023997094,3983.0227444787715,87.48966854159833,-9.032521553632428,753765.5656250002,6501.828024919222,-14.693090734081945,0.009365339046647086,0,65.64451599121094,1.7918806076049805
771,3339.6514352286035,2907.0740205063867,82.98554279968795,-7.295178300341555,731090.5640625004,6531.718610294117,-14.659927946623114,0.009700198201275802,0,2.4602408409118652,2.3360910415649414
107,3801.1918488225015,461.4741332047923,82.35154043521179,-3.4463397795439965,718630.7765625003,6499.125547068813,-14.641264531632505,0.009819139585802857,0,2.356595993041992,2.3052659034729004
558,2866.9364447769112,2076.7125476981346,83.7598952071592,-6.004977264821142,718550.7628125002,6512.697883581927,-14.64114363691884,0.00984074090350897,0,4.24427604675293,2.4500045776367188
754,2241.333597994505,2833.6529688553865,84.72084360113875,-7.207011472887043,717524.6268750002,6517.139035410784,-14.639592028784673,0.009861534415906049,0,2.48172664642334,2.3967769145965576
801,247.3503169329568,3014.1315200125264,87.855705189595,-7.520484072460114,710902.3775000001,6521.14810271167,-14.629524916648819,0.009959520203888817,0,2.175135850906372,2.1067492961883545
64,4832.360031057278,288.1265446726247,80.7451947433016,-3.1454609530051876,705683.46421875,6520.747937485298,-14.621524852595225,0.010032560598068747,0,3.723297119140625,2.8743996620178223
357,2784.292781469184,1343.6199262169557,83.9150034133721,-4.856403017731274,700024.5650000001,6506.751409497677,-14.61278320095264,0.010091953816867292,0,2.5591816902160645,2.3564634323120117
