id,x,y,ra,dec,flux,flux_err,mag,mag_err,flag,a,b,NAME,RA,DEC,SPECT_TYPE,MIN_MAG_LIMIT,MIN_MAG,MAX_MAG_LIMIT,MAX_MAG,VARIABILITY_TYPE,PERIOD_LIMIT,PERIOD,PERIOD_FLAG,VARIABLE_STAR_NUMBER,VARIABLE_STAR_CPT,NOTE_FLAG,LII,BII,POSITION_FLAG,MAX_MAG_FLAG,MIN_MAG_FLAG,MIN_MAG_ALT_SYS,SEC_MIN_MAG_LIMIT,SEC_MIN_MAG,SEC_MIN_MAG_FLAG,SEC_MIN_MAG_ALT_SYS,MAG_SYSTEM,EPOCH,EPOCH_PRECISION,EPOCH_FLAG,NOVA_YEAR,NOVA_YEAR_FLAG,PERIOD_PRECISION,PERIOD_NOTE,RISE_ECLIPSE_TIME,RISE_ECLIPSE_TIME_FLAG,ECLIPSE_VAR_NOTE,REF_STAR,REF_CHART,COMMENT_FLAG,ALT_NAME,PM_RA,PM_DEC,COORDINATES_EPOCH,COORDINATES_EPOCH_FLAG,REF_ASTROMETRY_FLAG,REF_ASTROMETRY,NEW_VARIABILITY_TYPE,CLASS,dist
9229.0,408.1405822920391,746.1108711196453,320.6989163195525,45.76633599363775,62269.11359375001,4323.054111804957,-11.98568170886416,0.07537760044148516,0.0,1.199872612953186,1.0721063613891602,V1558 Cyg ,320.69458,45.77106,C(N)             , ,15.4, ,12.8,M         , ,440.0, ,311558, , ,89.44827,-3.09826, , , ,  , ,0.0, ,  ,V ,41570.0,0, ,0, ,0,   ,65, , ,03814,03814, ,           ,0.0,0.0,1989.6770000000001, , ,GCVS     ,          ,"                     STAR
",20.194
9935.0,2297.4314162488445,792.246159418181,316.46876061678006,45.777222100831295,113687.81500000002,4322.915479742809,-12.63928479932175,0.04128451097829724,0.0,2.3622140884399414,1.3662104606628418,VV Cyg    ,316.46854,45.77839,                 , ,14.3, ,13.0,EA/SD     , ,1.4770469, ,310040, ,Y,87.41596,-0.96246, , , ,  , ,13.2, ,  ,p ,20270.452,3, ,0, ,7,   ,18, ,0,02700,01141, ,           ,0.0,-0.001,2000.0, , ,Tyc2     ,          ,"               ALGOL STAR
",4.241
9529.0,2007.461829290949,766.1400988917312,317.11859449625666,45.81551986212331,58638.00906250001,4325.6761788259755,-11.92044804068531,0.08009383866367797,0.0,2.919695377349853,1.1049604415893557,V1227 Cyg ,317.11171,45.816559999999996,                 , ,17.0, ,16.0,RR        , ,0.0, ,311227, , ,87.74651999999999,-1.2679200000000002, , , ,  , ,0.0, ,  ,p ,39389.52,2, ,0, ,0,   ,0, , ,03903,03903, ,           ,0.0,0.0,1952.5510000000002, , ,A2.0     ,          ,"                     STAR
",17.675
9154.0,2197.303899363128,736.2426664503027,316.69396729136434,45.864472556549465,126895.83796875006,4333.558841526068,-12.758618444975774,0.03707845588169132,0.0,3.0060443878173837,2.257589101791382,V2770 Cyg ,316.68637,45.86458,                 , ,12.65, ,12.53,RRC       , ,0.363727, ,312770, , ,87.58184,-1.01692, , , ,  , ,0.0, ,  ,w ,0.0,0, ,0, ,6,   ,41, , ,81276,81276, ,           ,0.0,0.0,1999.4370000000001, , ,2MASS    ,          ,"                     STAR
",19.049
8516.0,1807.4002592259906,684.0923506691062,317.5703011364995,45.940077047745724,79977.42062500003,4300.7017939663065,-12.257418483665015,0.058384324064057726,0.0,3.224595308303833,1.4218403100967407,V526 Cyg  ,317.57275,45.93608,                 , ,13.8, ,13.0,EA/SD:    , ,1.2334603000000002, ,310526, ,Y,88.05237,-1.42226, , , ,  , ,13.1, ,  ,p ,33762.414,3, ,0, ,7,   ,18, ,0,02700,02700, ,           ,0.0,0.0,1952.5510000000002, , ,A2.0     ,          ,"               ALGOL STAR
",15.641
8113.0,2322.923218149318,648.7372807056906,316.41346152693353,46.00206806400946,173362.91578125,4338.916836121804,-13.097390506869885,0.02717374172661179,0.0,4.09882116317749,3.8054699897766113,V408 Cyg  ,316.40825,46.00247,M6III            , ,12.5, ,11.4,LB        , ,0.0, ,310408, , ,87.55399,-0.78101, , , ,  , ,0.0, ,  ,p ,0.0,0, ,0, ,0,   ,0, , ,00612,00319, ,           ,-0.004,-0.003,2000.0, , ,Tyc2     ,          ,"               STAR M6III
",13.112
6479.0,1916.040401257572,535.0637313273494,317.33199639873965,46.17581015501043,112588.53359375002,4331.907770093189,-12.628735406782706,0.04177431707774122,0.0,1.661529541015625,1.2949061393737793,V575 Cyg  ,317.33008,46.17419,S                , ,15.8, ,13.8,SRB       , ,144.0, ,310575, , ,88.1123,-1.13683, , , ,  , ,0.0, ,  ,p ,28055.0,0, ,0, ,0,   ,0, , ,01262,02337, ,           ,0.0,0.0,1952.5510000000002, , ,A2.0     ,          ,"                     STAR
",7.539
5619.0,1864.5440554941479,473.30341382240067,317.4505996562133,46.27143218913184,82815.09656250002,4331.50783752754,-12.29527378145998,0.05678765195724929,0.0,1.4504332542419434,1.264925241470337,V1231 Cyg ,317.44817,46.26897,                 ,>,17.5, ,16.0,M:        , ,0.0, ,311231, , ,88.23737,-1.13231, , , ,  , ,0.0, ,  ,p ,39395.0,0,:,0, ,0,   ,0, , ,03903,03903, ,           ,0.0,0.0,1952.5510000000002, , ,A2.0     ,          ,"                     STAR
",10.73
5499.0,2253.584827752911,457.1516350957476,316.5724499710947,46.301860163534144,192427.89171875003,4325.935853860845,-13.210670054150775,0.02440823486681861,0.0,2.51560926437378,1.993388056755066,V1225 Cyg ,316.56754,46.30042,M:e              ,>,17.5, ,11.9,M         , ,379.5, ,311225, ,Y,87.84891,-0.66275, , , ,  , ,0.0, ,  ,B ,41676.0,0, ,0, ,1,   ,0, , ,08845,08845, ,           ,0.0,0.0,1990.6970000000001, , ,GCVS     ,          ,"                 STAR M0e
",13.267
5350.0,2118.148929535762,441.93323337573645,316.8787642259421,46.32465903597164,130130.3403125,4333.932017846208,-12.785946413849995,0.036159952317315835,0.0,2.616128444671631,1.674313187599182,V1551 Cyg ,316.87404,46.32228,                 , ,16.1, ,15.4,LB        , ,0.0, ,311551, , ,88.00769,-0.8045, , , ,  , ,0.0, ,  ,p ,0.0,0, ,0, ,0,   ,0, , ,07010,04341, ,           ,0.0,0.0,1952.5510000000002, , ,A2.0     ,          ,"                     STAR
",14.536
5156.0,2518.2053254492985,439.17562420938947,315.9748267334207,46.32964651820193,239867.7359375,4337.485235241441,-13.449929589837947,0.01963317300302754,0.0,3.750421524047852,2.963673591613768,V1898 Cyg ,315.97417,46.330529999999996,                 , ,8.15, ,7.71,EA/DM     , ,0.0, ,311898, , ,87.59694,-0.33810999999999997, , , ,  , ,0.0, ,  ,V ,0.0,0, ,0, ,0,   ,0, , ,68366,BD   , ,           ,0.002,0.001,2000.0, , ,Hip      ,          ,"               ALGOL STAR
",3.575
4225.0,384.9293794381932,372.12034433489526,320.7999885658785,46.34839710243661,86335.4615625,4325.836705374176,-12.340473037886346,0.0544007924657508,0.0,2.70288634300232,1.1407628059387207,V2440 Cyg ,320.80675,46.34753,                 ,(,0.02, ,14.18,S:        , ,0.0, ,312440, , ,89.90961999999999,-2.7431799999999997, , , ,  , ,0.0, ,  ,B ,0.0,0, ,0, ,0,   ,0, , ,78298,78298, ,           ,0.0,0.0,1998.7820000000002, , ,2MASS    ,          ,"                     STAR
",17.09
3605.0,328.3300709818768,312.6333405446046,320.93574165683447,46.43618622881031,87382.15453125001,4328.99740696749,-12.353556871633616,0.05378843357962497,0.0,2.234749794006348,1.3201876878738403,V2454 Cyg ,320.94329,46.43336,                 ,(,0.06, ,17.41,DSCTC     , ,0.033, ,312454, , ,90.03709,-2.74816, , , ,  , ,0.0, ,  ,B ,0.0,0, ,0, ,3,   ,0, , ,78298,78298, ,           ,0.0,0.0,1952.707, , ,A2.0     ,          ,"                     STAR
",21.313
3747.0,2058.154747206352,314.5421295934632,317.0180575044182,46.5233365423867,126027.57593750006,4333.458661500938,-12.751163957380388,0.03733304338843735,0.0,1.8467830419540403,1.353506088256836,V2059 Cyg ,317.01313,46.52069,                 , ,17.5, ,16.6,LB        , ,0.0, ,312059, , ,88.21876,-0.74111, , , ,  , ,0.0, ,  ,B ,0.0,0, ,0, ,0,   ,0, , ,73134,73134, ,           ,0.0,0.0,1983.4489999999998, , ,GSC      ,          ,"                     STAR
",15.484
2165.0,1870.9820290575385,181.11202950138332,317.4480364318424,46.72881157718861,125279.72203125006,4327.296940011311,-12.744701952772296,0.037502501445025496,0.0,2.8152036666870117,1.8689004182815552,V2772 Cyg ,317.44375,46.72436,                 , ,12.81, ,12.15,EA        , ,2.7738400000000003, ,312772, , ,88.56906,-0.8202200000000001, , , ,  , ,12.25, ,  ,w ,51318.7027,4, ,0, ,5,   ,19, , ,81276,GSC  , ,           ,-0.013000000000000001,0.001,2000.0, , ,Tyc2     ,          ,"               ALGOL STAR
",19.202
2024.0,2093.339218621575,175.42883911629986,316.9420488353368,46.741449441805536,170000.78484375007,4335.496341232888,-13.076127315982788,0.02768931536168733,0.0,4.888190269470215,2.6207408905029297,V356 Cyg  ,316.94437,46.737140000000004,                 , ,14.2, ,13.1,DCEP      , ,5.0576099999999995, ,310356, , ,88.34633000000001,-0.55999, , , ,  , ,0.0, ,  ,p ,28408.45,2, ,0, ,5,   ,30, , ,01242,01242, ,           ,0.0,0.0,1983.4489999999998, , ,GSC      ,          ,"                     STAR
",16.537
391.0,1968.3615444628704,22.28837642619604,317.232002560346,46.97913145877115,124313.78640625006,4327.1853289876835,-12.736298236490438,0.03779292636962057,0.0,3.222242832183838,2.2502062320709237,V574 Cyg  ,317.22617,46.977920000000005,                 , ,13.8, ,13.2,L         , ,0.0, ,310574, , ,88.65401,-0.53876, , , ,  , ,0.0, ,  ,p ,0.0,0, ,0, ,0,   ,0, , ,01262,02337, ,           ,0.0,0.0,1952.5510000000002, , ,A2.0     ,          ,"                     STAR
",14.975
54.0,1435.670617009387,5.237500491760974,318.450874905165,46.98993895716745,38772.50765625,4326.420871535299,-11.471309726018992,0.12115161131420644,0.0,2.4933323860168457,1.538209319114685,V2803 Cyg ,318.45513,46.995059999999995,                 , ,12.24, ,12.16,CWB       , ,1.0978700000000001, ,312803, , ,89.24019,-1.1384299999999998, , , ,  , ,0.0, ,  ,R ,52885.460999999996,3, ,0, ,5,   ,48, , ,81284,81284, ,           ,0.0,0.0,1998.7820000000002, , ,2MASS    ,          ,"                     STAR
",21.191
19909.0,2247.899174798128,1530.6873483115369,316.56765015427595,44.61958740258317,21219.041875,4330.471267873164,-10.816814424667921,0.22158160895729576,0.0,0.9276421666145324,0.659318745136261,V1550 Cyg ,316.56971,44.61919,                 , ,18.3, ,16.8,UV        , ,0.0, ,311550, , ,86.60462,-1.7936900000000002, , , ,  , ,0.0, ,  ,U ,0.0,0, ,0, ,0,   ,0, , ,07498,USNO , ,           ,0.0,0.0,1954.511, , ,A2.0     ,          ,"             UV CETI TYPE
",5.469
19032.0,1494.3828958563934,1459.2697891640992,318.2250840623835,44.71601260610604,58916.91640625003,4310.476775996624,-11.925600021648705,0.07943458315432415,0.0,1.5091112852096558,1.0722876787185671,V2063 Cyg ,318.22638,44.714220000000005,                 , ,18.8, ,17.8,LB        , ,0.0, ,312063, , ,87.47561,-2.5935200000000003, , , ,  , ,0.0, ,  ,B ,0.0,0, ,0, ,0,   ,0, , ,73134,73134, ,           ,0.0,0.0,1954.511, , ,A2.0     ,          ,"                     STAR
",7.255
18796.0,1626.198705891039,1433.0420284948816,317.93676745985005,44.761575179137424,130681.34265625,4309.645982868692,-12.790533969719794,0.03580571318125485,0.0,4.520500183105469,2.0913381576538086,V2584 Cyg ,317.93746,44.75844,                 , ,11.63, ,11.53,GDOR:     , ,1.459, ,312584, , ,87.36693000000001,-2.41384, , , ,  , ,0.0, ,  ,V ,0.0,0, ,0, ,3,   ,0, , ,80570,80570, ,           ,-0.003,0.003,2000.0, , ,Tyc2     ,          ,"                     STAR
",11.425
18159.0,1731.616445653222,1388.223469806485,317.7069753493018,44.834866392355366,105170.71265625,4315.838717173784,-12.554737041972544,0.04455482168736631,0.0,3.4483067989349365,1.3321346044540403,V580 Cyg  ,317.70583,44.833079999999995,                 ,>,18.0, ,14.0,M         , ,523.0, ,310580, , ,87.30901999999999,-2.24284, , , ,  , ,0.0, ,  ,p ,28418.0,0, ,0, ,0,   ,0, , ,01262,02337, ,           ,0.0,0.0,1954.511, , ,A2.0     ,          ,"                     STAR
",7.065
17133.0,1006.4750941838304,1317.2208969191322,319.30943488063843,44.91560683042206,95606.41109375,4323.866960961421,-12.451217539510406,0.049103180951640325,0.0,2.047834873199464,1.2879201173782349,V1332 Cyg ,319.30563,44.91389,                 , ,15.8, ,14.9,LB        , ,0.0, ,311332, , ,88.15046,-3.00788, , , ,  , ,0.0, ,  ,p ,0.0,0, ,0, ,0,   ,0, , ,07010,04341, ,           ,0.0,0.0,1983.674, , ,GSC      ,          ,"                     STAR
",11.502
15722.0,154.0158952957427,1213.0337669785715,321.1994373313593,45.01400070457339,95904.04796875,4320.85807195385,-12.454592346221473,0.0489167260788653,0.0,2.799267530441284,1.3151389360427856,V1242 Cyg ,321.20288,45.01531,                 ,>,17.5, ,15.5,M         , ,0.0, ,311242, , ,89.17166999999999,-3.88715, , , ,  , ,0.0, ,  ,p ,0.0,0, ,0, ,0,   ,0, , ,03903,03903, ,           ,0.0,0.0,1953.6789999999999, , ,A2.0     ,          ,"                     STAR
",9.949
15090.0,2462.2597942551165,1140.3410811681551,316.0986898120023,45.23158797515855,93644.99203125002,4329.720705430231,-12.428711392576368,0.050199529354519816,0.0,1.8400821685791016,1.2921205759048462,V524 Cyg  ,316.09975,45.231390000000005,                 , ,15.3, ,13.6,SR        , ,670.0, ,310524, , ,86.83646999999999,-1.13659, , , ,  , ,0.0, ,  ,p ,28550.0,0, ,0, ,0,   ,31, , ,00612,02285, ,           ,0.0,0.0,1983.674, , ,GSC      ,          ,"                     STAR
",2.781
14791.0,1739.7937335671652,1129.569849482076,317.70095098571494,45.24047456951286,103084.34546875,4324.73160213079,-12.53298179432565,0.045550249700314335,0.0,3.7221763134002686,1.5285601615905762,V527 Cyg  ,317.69742,45.237140000000004,M7               , ,14.9, ,13.3,LB        , ,0.0, ,310527, , ,87.6005,-1.9627400000000002, , , ,  , ,0.0, ,  ,p ,0.0,0, ,0, ,0,   ,0, , ,00612,02344, ,           ,0.0,0.0,1983.674, , ,GSC      ,          ,"                  STAR M7
",14.974
12074.0,1375.9824546791144,942.213131206934,318.52051356456036,45.521404384393705,82316.80609375,4319.285500646346,-12.288721278451495,0.0569701968441004,0.0,2.077194929122925,1.1987427473068235,V586 Cyg  ,318.51975,45.51939,                 , ,15.2, ,13.3,EA/SD     , ,4.83716, ,310586, ,Y,88.20260999999999,-2.18912, , , ,  , ,0.0, ,  ,p ,28487.375,3, ,0, ,5,   ,10, ,0,01262,02285, ,           ,0.0,0.0,1983.5610000000001, , ,GSC      ,          ,"               ALGOL STAR
",7.503
11779.0,2380.1232997940187,928.2185483369592,316.2825386863673,45.56424837189209,46771.52171875001,4321.261304494182,-11.674953749942588,0.10031210608717106,0.0,1.7350270748138428,1.079591155052185,V3102 Cyg ,316.28154,45.56269,                 , ,16.47, ,14.87,EB        , ,0.9673, ,313102, , ,87.16826,-1.01006, , , ,  , ,15.08, ,  ,V ,57511.084,3, ,0, ,5,   ,0, , ,82229,82229, ,           ,-0.001,-0.005,2000.0, , ,Gaia DR2 ,          ,"            BETA LYR STAR
",6.149
11096.0,2045.6306576586612,865.815568756276,317.03020778717587,45.659919536775334,90775.9859375,4320.264623369441,-12.394927436440716,0.051673002141309814,0.0,2.2639942169189453,1.9228880405426023,V458 Cyg  ,317.0305,45.658390000000004,                 , ,15.3, ,14.1,EA/SD:    , ,3.533735, ,310458, ,Y,87.59168000000001,-1.33323, , , ,  , ,14.2, ,  ,p ,27951.487999999998,3, ,0, ,6,   ,18, ,0,02700,01287, ,           ,0.0,0.0,1983.5610000000001, , ,GSC      ,          ,"               ALGOL STAR
",5.555
10145.0,2551.642574507151,807.0883521945246,315.8999460300141,45.753220488679645,105098.49171875004,4324.964459590247,-12.553991208649952,0.04467971348851968,0.0,1.9488087892532349,1.784935474395752,V2762 Cyg ,315.89878999999996,45.751529999999995,B0Ve             , ,14.6, ,13.27,XN        , ,0.0, ,312762, ,Y,87.13025999999999,-0.68482, , , ,  , ,0.0, ,  ,R ,0.0,0, ,0, ,0,   ,0, , ,81277,GSC  , ,           ,0.0,0.0,1999.4370000000001, , ,2MASS    ,          ,"                 STAR B0V
",6.743
10099.0,2020.233268315827,803.5550758262027,317.08884158674437,45.75710079721033,92893.80265625,4320.5097190790175,-12.419966853284135,0.050497812457652176,0.0,2.265263795852661,1.680275321006775,V358 Cyg  ,317.09204,45.75622,                 , ,0.0, ,14.2,CST:      , ,0.0, ,310358, , ,87.69282,-1.29867, , , ,  , ,0.0, ,  ,p ,0.0,0, ,0, ,0,   ,0, , ,01242,01242, ,           ,0.0,0.0,1952.5510000000002, , ,A2.0     ,          ,"                     STAR
",8.637
23225.0,1725.7457322233731,1804.826352764344,317.70066867415335,44.181589598421,189893.68250000005,4328.6828779087045,-13.196276291502526,0.024749679176199524,0.0,2.773946523666382,2.0034151077270512,V579 Cyg  ,317.70153999999997,44.17933,M6ea             , ,13.02, ,11.4,LB        , ,0.0, ,310579, , ,86.82853,-2.68664, , , ,  , ,0.0, ,  ,B ,0.0,0, ,0, ,0,   ,0, , ,01262,02373, ,           ,-0.011000000000000001,-0.005,2000.0, , ,Tyc2     ,          ,"                 STAR M6e
",8.44
23034.0,1640.0603844268287,1792.6589043345475,317.8878932349224,44.198254691212476,57985.90734375,4325.600802471693,-11.908306143109135,0.08099315184865417,0.0,1.5696864128112793,1.0100665092468262,V2581 Cyg ,317.89333,44.2,                 ,(,0.12, ,15.5,DSCT      , ,0.09701, ,312581, ,Y,86.93768,-2.77297, , , ,  , ,0.0, ,  ,Rc,0.0,0, ,0, ,5,   ,0, , ,80569,80569, ,           ,-0.002,-0.009000000000000001,2000.0, , ,UCAC2    ,          ,"                     STAR
",15.374
