     Unknown          : 35780
     ea               : 588
     M6               : 489
     M5               : 443
     M7               : 423
     A0               : 314
     M2               : 299
     M4               : 262
     M0               : 213
     G0               : 209
     M3               : 204
     M8               : 198
     M                : 187
     M6.5             : 177
     A2               : 158
     Me               : 152
     C                : 152
     M1               : 151
     B9               : 143
     G5               : 142
     F0               : 140
     K5               : 140
     F8               : 130
     K0               : 123
     A5               : 116
     F5               : 113
     pec(Nova)        : 110
     K2               : 94
     F2               : 92
     pec(e)           : 89
     A3               : 82
     pec(UG)          : 81
     S                : 80
     M5e              : 79
     M4III            : 77
     M3III            : 76
     M2e              : 76
     B8               : 76
     C(N)             : 74
     M4e              : 68
     M5III            : 63
     K2V              : 60
     A                : 57
     M:               : 54
     A2V              : 52
     K3               : 51
     e                : 51
     M6III            : 50
     A0V              : 49
     M6e              : 49
     M8e              : 47
     M2III            : 46
     M7e              : 46
     K7               : 45
     M3e              : 44
     G5V              : 44
     M9               : 44
     B2V              : 43
     K                : 42
     K0V              : 41
     K4               : 40
     K3V              : 40
     A8               : 38
     F6               : 36
     B5               : 33
     Be               : 32
     F                : 32
     G7IV             : 32
     K5V              : 32
     F2V              : 30
     M5e-M6e          : 30
     K1               : 29
     M0e              : 29
     M0-M1            : 28
     B5V              : 27
     K7V              : 27
     G0V              : 27
     G9IVe            : 27
     K7e              : 27
     G2V              : 26
     G5IV             : 26
     M0e(T)           : 26
     A3V              : 26
     DA               : 25
     F5-G2            : 25
     M5:              : 25
     F0V              : 25
     G2               : 25
     A-F              : 25
     MB               : 24
     G3               : 24
     A7               : 24
     B3               : 24
     B1V              : 24
     M6-M7            : 23
     M4-M5            : 23
     M2IIIab          : 23
     F7               : 22
     M10              : 22
     K5III            : 22
     A1               : 22
     K8               : 22
     M0:              : 21
     F5V              : 21
     C(R)             : 21
     K3III            : 21
     B9p(Si)          : 21
     K4e              : 21
     A2III            : 21
     C6,3(N0)         : 21
     OB               : 20
     M0III            : 20
     F7-K1            : 20
     B3V              : 20
     F9V              : 20
     M2:              : 20
     M6e-M9e          : 19
     G                : 19
     A7V              : 19
     F6-G5            : 19
     G3V              : 19
     C5,4(N)          : 19
     sdB              : 19
     M6e-M8e          : 19
     M1.5             : 19
     M2/3             : 18
     F6-G2            : 18
     M6+III:          : 18
     B3Ia             : 18
     C6.5,3(N2)(Tc)   : 18
     F8V              : 18
     M2Iab            : 18
     B9pSi            : 18
     M8III            : 18
     B                : 18
     M6:              : 18
     M4e-M5e          : 17
     B3IV:eaV         : 17
     M0-M7:(S)        : 17
     ea:              : 17
     K4V              : 17
     F8-G2            : 17
     M7-M10           : 17
     A5V              : 17
     A6               : 17
     A7-F6            : 16
     B1.5II-III       : 16
     M7-M8            : 16
     G5Ia-K4I         : 16
     B2IV             : 16
     M7III            : 16
     A0p(Si)          : 16
     M3e-M9           : 16
     M1e(T)           : 16
     M5-M6            : 16
     K5Ve             : 16
     F2IV-V           : 16
     B8Ve+K0IV        : 16
     Mb               : 16
     F0IV             : 16
     M4IIIa           : 15
     K4Ve             : 15
     M0-M6            : 15
     B8V              : 15
     K1e              : 15
     A7mIII-IV        : 15
     M3-M4            : 15
     K0Ve-K5Ve(T)     : 15
     M5-6III          : 15
     M1III            : 15
     F5-G0            : 15
     G2e-K2(M3)       : 15
     M5e-M8.5e        : 15
     K1V              : 15
     M6-M8            : 15
     G5III            : 14
     M2III+B1eq       : 14
     A4V              : 14
     K7-M0:           : 14
     K4e(T)           : 14
     G9               : 14
     B0Ve             : 14
     M4e-M8e          : 14
     A9-F6            : 14
     M3.5             : 14
     A8-F6            : 14
     pec(e+cont)      : 14
     B7IVe-sh         : 14
     K2ea             : 14
     cont+e(T)        : 14
     F1V              : 14
     B-A              : 14
     B4Ven            : 14
     pec              : 14
     G1V              : 14
     M1.5-2.5Ve(T)    : 14
     G8               : 14
     K0IV             : 13
     B2Vne            : 13
     A5:              : 13
     M5-M7            : 13
     M6.5e-M9.5e      : 13
     C5,4(N3)         : 13
     K0III            : 13
     K9               : 13
     M7.5Se           : 13
     K3ea             : 13
     K7-M0e           : 13
     F6-G0            : 13
     G1Ib             : 13
     F8Ve-K1IV-Ve(T)  : 12
     C7,3(Nb)         : 12
     B0.5III          : 12
     G8V              : 12
     B2IVe            : 12
     M1.5-2Ve         : 12
     M2Ve             : 12
     S6,3             : 12
     M4e-M6e          : 12
     M2.5Ve-M5Ve(T)   : 12
     K5e(T)-M5e(T)    : 12
     B0V              : 12
     F6-G1            : 12
     M4.5             : 12
     F5-F9            : 11
     K3-K5V           : 11
     G7V              : 11
     M3IIIe           : 11
     M3e-M8e          : 11
     M4Ve             : 11
     B9.5V            : 11
     M2e-M9           : 11
     S4.5,9e          : 11
     B6IIIpe+A2p      : 11
     M3Ve             : 11
     A0:              : 11
     MA               : 11
     B8II-III         : 11
     F8ea-K5Vea       : 11
     B2               : 11
     B9V              : 11
     G3/4V            : 11
     S:               : 10
     C4,4(R)          : 10
     A5e              : 10
     A8V              : 10
     F2p              : 10
     K6Ve             : 10
     M2e(T)           : 10
     A9-F8            : 10
     G-K4e            : 10
     M4IIIe           : 10
     M0-3Ve(T)        : 10
     A8-F5            : 10
     A0III            : 10
     M3III:           : 10
     F0-F6            : 10
     M3:              : 10
     G8III-IV         : 10
     M4III:           : 10
     M4-M8            : 10
     M3e-M6e          : 10
     B8-A2eq(T)       : 9
     F8Ib-G5Ib        : 9
     M6e:             : 9
     F0III            : 9
     Mep              : 9
     cont             : 9
     M2-4Iab          : 9
     A0:-FpII-Vea     : 9
     M3e-M4e          : 9
     M5-M8            : 9
     F:               : 9
     B2Ve-B5Vpe       : 9
     A7Vn             : 9
     M:e              : 9
     A9               : 9
     M3.5Ve           : 9
     M3-M6            : 9
     OB:e             : 9
     B1III            : 9
     A8-F0            : 9
     B5:              : 9
     pec(UG)+K        : 9
     A0p(Sr-Cr-Eu)    : 9
     M2e-M5.5e        : 9
     K6               : 9
     K1e(T)           : 9
     M0.5e            : 9
     M6e-M7e          : 9
     A8:              : 9
     K-M:             : 9
     A3m              : 9
     G8III+sdOB       : 9
     M2.5IIIa         : 9
     C4,5J(R5)        : 9
     K1Ve             : 8
     MC               : 8
     M3.5Ia           : 8
     M1-2Ve(T)        : 8
     C6,3(N)          : 8
     B2Ve             : 8
     M2.5III          : 8
     F4               : 8
     B5III            : 8
     A7Vm             : 8
     M2.0Iab          : 8
     CS(M2p)          : 8
     F0-F8            : 8
     M7e-M9e          : 8
     B9e              : 8
     A2Vea            : 8
     F5:              : 8
     A7-F5            : 8
     G5V+K0III-IV     : 8
     M2.5Iab          : 8
     K0+G9            : 8
     F2IV             : 8
     A1:              : 8
     G7               : 8
     M3-M7            : 8
     M6.5:            : 8
     B0.5IV           : 8
     B9Ve             : 8
     A9V              : 8
     B1               : 8
     K2e              : 8
