NAME,SPECT_TYPE
V537 Oph  ,                 
V542 Oph  ,                 
V973 Oph  ,                 
V2738 Oph ,                 
V2371 Oph ,                 
V521 Oph  ,"S5,4(M4)         "
V534 Oph  ,                 
V845 Oph  ,                 
V2573 Oph ,pec(Nova)        
IX Oph    ,Fpe              
KK Oph    ,B-Ae             
V359 Oph  ,                 
V2257 Oph ,                 
V353 Oph  ,                 
IZ Oph    ,                 
HK Oph    ,                 
V2599 Oph ,                 
V2715 Oph ,                 
V2524 Oph ,                 
V4043 Oph ,                 
V2215 Oph ,                 
V2882 Oph ,                 
KP Oph    ,                 
V2136 Oph ,                 
IY Oph    ,                 
IK Oph    ,                 
V2262 Oph ,                 
V2919 Oph ,                 
V2483 Oph ,                 
V535 Oph  ,A3               
V522 Oph  ,                 
V2737 Oph ,A5               
V2460 Oph ,                 
V523 Oph  ,                 
V520 Oph  ,M5e              
V842 Oph  ,                 
V971 Oph  ,                 
V524 Oph  ,                 
V2475 Oph ,                 
V526 Oph  ,                 
KQ Oph    ,                 
IV Oph    ,                 
HI Oph    ,                 
IM Oph    ,                 
V2721 Oph ,                 
IL Oph    ,                 
V4057 Oph ,                 
V4059 Oph ,                 
IT Oph    ,                 
V2719 Oph ,                 
V361 Oph  ,                 
KL Oph    ,                 
V354 Oph  ,                 
V700 Sco  ,B5               
V479 Sco  ,M1               
V498 Sco  ,                 
V903 Sco  ,M6               
V488 Sco  ,                 
V1621 Sco ,M2               
V698 Sco  ,                 
V477 Sco  ,M2               
V1128 Sco ,                 
V1123 Sco ,                 
V525 Oph  ,                 
V4117 Oph ,                 
V2488 Oph ,                 
V2484 Oph ,                 
V528 Oph  ,                 
V527 Oph  ,                 
V974 Oph  ,                 
V2472 Oph ,                 
V2423 Oph ,                 
HS Oph    ,                 
V358 Oph  ,                 
V1113 Sco ,                 
V1119 Sco ,                 
V458 Sco  ,                 
KN Sco    ,                 
V1108 Sco ,                 
V2411 Oph ,                 
V347 Oph  ,                 
V2415 Oph ,                 
V2421 Oph ,                 
V2194 Oph ,                 
V349 Oph  ,                 
V2196 Oph ,                 
V343 Oph  ,                 
GR Oph    ,                 
V2185 Oph ,                 
V2183 Oph ,                 
BQ Oph    ,                 
V2180 Oph ,                 
HU Oph    ,                 
V518 Oph  ,                 
V2138 Oph ,                 
V348 Oph  ,                 
V2186 Oph ,                 
V2199 Oph ,                 
V2576 Oph ,pec(Nova)        
GQ Oph    ,                 
V516 Oph  ,                 
V2426 Oph ,                 
V2402 Oph ,                 
V346 Oph  ,                 
V3694 Oph ,                 
V362 Oph  ,                 
HT Oph    ,                 
V459 Sco  ,M7               
V1066 Aql ,                 
V1081 Aql ,                 
V1489 Aql ,                 
V1490 Aql ,                 
V703 Aql  ,                 
V757 Aql  ,                 
V701 Aql  ,                 
V743 Aql  ,                 
V1080 Aql ,                 
V1998 Aql ,                 
V1466 Aql ,B7Ve             
V1700 Aql ,B9               
V1982 Aql ,                 
QV Aql    ,                 
V699 Aql  ,                 
V460 Aql  ,                 
V694 Aql  ,F0               
V714 Aql  ,                 
V1339 Aql ,B2.5IVe          
V1868 Aql ,                 
V1817 Aql ,                 
V1070 Aql ,                 
V721 Aql  ,                 
V1049 Aql ,                 
V760 Aql  ,                 
V427 Aql  ,M4e              
V434 Aql  ,M4e              
V673 Aql  ,                 
V1008 Aql ,                 
V1542 Aql ,                 
V681 Aql  ,                 
LP Aql    ,                 
V452 Aql  ,                 
V1975 Aql ,                 
OO Aql    ,G5V              
V635 Aql  ,                 
OP Aql    ,B9               
V1974 Aql ,                 
V926 Aql  ,                 
V1956 Aql ,                 
V641 Aql  ,M9               
V1714 Aql ,                 
V1010 Aql ,                 
V669 Aql  ,M6III            
MT Aql    ,                 
V1965 Aql ,                 
NR Aql    ,                 
V670 Aql  ,M6e:             
RV Aql    ,M2e-M7:e         
V459 Aql  ,                 
V1382 Aql ,                 
V677 Aql  ,                 
V667 Aql  ,                 
V1814 Aql ,                 
V716 Aql  ,                 
V1653 Aql ,                 
V1068 Aql ,                 
V461 Aql  ,                 
V1157 Aql ,                 
V628 Aql  ,                 
V447 Aql  ,C(R)             
V648 Aql  ,M1               
V421 Aql  ,M4IIIe-M7e       
V989 Aql  ,                 
V863 Aql  ,                 
V1381 Aql ,                 
V672 Aql  ,                 
V1388 Aql ,                 
V650 Aql  ,                 
V1374 Aql ,                 
V646 Aql  ,                 
V1957 Aql ,                 
V1960 Aql ,                 
QU Aql    ,Se               
EZ Aql    ,G5-K0            
V1871 Aql ,                 
V1879 Aql ,                 
V1326 Aql ,                 
V1869 Aql ,                 
V764 Aql  ,                 
V1984 Aql ,                 
V740 Aql  ,                 
V1295 Aql ,A2IVe            
V1409 Aql ,                 
V695 Aql  ,                 
V1052 Aql ,                 
V732 Aql  ,M2               
V1720 Aql ,                 
V1059 Aql ,                 
V1465 Aql ,A5               
X Aql     ,M6e              
V895 Aql  ,                 
V1272 Aql ,                 
V660 Aql  ,                 
V1000 Aql ,                 
V1967 Aql ,                 
V665 Aql  ,                 
GU Aql    ,                 
V1268 Aql ,                 
V1458 Aql ,M0III            
V1305 Aql ,                 
V1958 Aql ,                 
V422 Aql  ,M3IIIe           
V676 Aql  ,                 
V1280 Aql ,                 
V1843 Aql ,                 
V651 Aql  ,                 
V991 Aql  ,                 
V1014 Aql ,                 
V1384 Aql ,                 
V391 Aql  ,"C6,3(N6)         "
V386 Aql  ,M6-M9            
V683 Aql  ,                 
V497 Aql  ,M1e              
V674 Aql  ,                 
V634 Aql  ,                 
V870 Aql  ,                 
V1261 Aql ,M5III            
GR Aql    ,M5IIIe           
V1309 Aql ,                 
V1154 Aql ,                 
V1952 Aql ,                 
V1274 Aql ,                 
NO Aql    ,M4e              
V385 Aql  ,                 
V1303 Aql ,                 
V1155 Aql ,                 
sig Aql   ,B3V+B3V          
V680 Aql  ,                 
V997 Aql  ,                 
V662 Aql  ,                 
V996 Aql  ,                 
V1275 Aql ,                 
V417 Aql  ,G2V              
V668 Aql  ,                 
V755 Aql  ,                 
V1086 Aql ,                 
V1299 Aql ,                 
V1094 Aql ,                 
V781 Aql  ,                 
V2003 Aql ,                 
V433 Aql  ,M1               
V768 Aql  ,                 
V737 Aql  ,                 
V1655 Aql ,M1               
V1472 Aql ,M2.5III          
V731 Aql  ,                 
V1075 Aql ,                 
V1992 Aql ,M8               
KL Aql    ,F6Iab-G6         
V340 Aql  ,F                
V429 Aql  ,M2-M6            
V729 Aql  ,                 
V784 Aql  ,                 
V465 Aql  ,                 
V437 Aql  ,                 
V1849 Aql ,G5               
V761 Aql  ,                 
V1082 Aql ,                 
V1852 Aql ,                 
SY Aql    ,M5e-M7e          
V428 Aql  ,                 
V771 Aql  ,                 
V1991 Aql ,                 
OW Aql    ,C(N)             
OX Aql    ,                 
MP Aql    ,                 
MZ Aql    ,                 
V1846 Aql ,                 
V679 Aql  ,                 
V1046 Aql ,                 
V1045 Aql ,                 
V1024 Aql ,                 
OS Aql    ,                 
V1387 Aql ,                 
V1064 Aql ,                 
V1053 Aql ,                 
V688 Aql  ,B0               
V657 Aql  ,                 
V1015 Aql ,                 
NV Aql    ,                 
TW Aql    ,G0-K0            
V675 Aql  ,                 
V718 Aql  ,                 
V1149 Aql ,                 
V704 Aql  ,                 
V1033 Aql ,                 
V1013 Aql ,                 
V1398 Aql ,                 
V1844 Aql ,F1V              
V1400 Aql ,                 
KK Aql    ,G2e-G6(M2)       
V1978 Aql ,                 
V1041 Aql ,                 
V462 Aql  ,M6.5             
V1026 Aql ,                 
V685 Aql  ,M6               
V708 Aql  ,                 
NS Aql    ,                 
OQ Aql    ,K5               
V435 Aql  ,                 
PU Aql    ,                 
V1058 Aql ,                 
V1491 Aql ,                 
MU Aql    ,M4               
V1964 Aql ,M4               
NX Aql    ,                 
V431 Aql  ,                 
V864 Aql  ,                 
V725 Aql  ,                 
V2008 Aql ,                 
V432 Aql  ,M4e              
V758 Aql  ,M6e              
V733 Aql  ,F9Ib             
V742 Aql  ,                 
V1546 Aql ,                 
V746 Aql  ,                 
V774 Aql  ,                 
V436 Aql  ,M4e              
V1410 Aql ,                 
V1470 Aql ,B9               
V730 Aql  ,M2               
V1168 Aql ,                 
V1088 Aql ,                 
V750 Aql  ,                 
V2004 Aql ,                 
PV Aql    ,M4               
V702 Aql  ,M                
V425 Aql  ,                 
ST Aql    ,                 
NQ Aql    ,                 
V649 Aql  ,M3               
V1399 Aql ,                 
V1716 Aql ,                 
MQ Aql    ,                 
PP Aql    ,                 
V1165 Aql ,                 
PS Aql    ,                 
V1543 Aql ,                 
V1848 Aql ,G5               
V828 Aql  ,                 
V711 Aql  ,                 
V687 Aql  ,                 
RY Aql    ,M3IIIe-M5e       
V1397 Aql ,M3               
V1971 Aql ,                 
MN Aql    ,M3               
NU Aql    ,                 
NP Aql    ,                 
OY Aql    ,                 
MS Aql    ,M4III            
V925 Aql  ,K5               
V712 Aql  ,                 
V1054 Aql ,M4               
MY Aql    ,                 
NY Aql    ,                 
OZ Aql    ,                 
V830 Aql  ,M4-M6            
V446 Aql  ,M2               
V340 Sge  ,                 
DQ Sge    ,                 
HM Sge    ,pec(e)+M         
HN Sge    ,C                
V420 Sge  ,                 
DH Sge    ,                 
FU Sge    ,                 
UU Sge    ,O(subdwarf)+KV   
DO Sge    ,                 
V1380 Aql ,                 
V1962 Aql ,                 
NT Aql    ,                 
V664 Aql  ,                 
V1019 Aql ,                 
V678 Aql  ,                 
NN Aql    ,                 
V1012 Aql ,                 
LU Aql    ,M4-M5            
V632 Aql  ,                 
LQ Aql    ,                 
V1355 Aql ,                 
V1353 Aql ,A                
CU Sge    ,F5               
V418 Sge  ,                 
V339 Sge  ,                 
HL Sge    ,                 
DD Sge    ,M6               
MR Aql    ,                 
V700 Aql  ,K0               
MW Aql    ,M3               
V1386 Aql ,                 
QS Aql    ,B5V              
LW Aql    ,                 
V1148 Aql ,                 
LY Aql    ,M9-M10           
LS Aql    ,M4               
V343 Aql  ,A0V              
LV Aql    ,                 
PQ Aql    ,pec(UG)          
V455 Aql  ,M8               
V666 Aql  ,                 
V1043 Aql ,                 
KW Aql    ,                 
V449 Aql  ,M6.5             
V415 Aql  ,F2               
V1137 Aql ,M0I              
RT Aql    ,M6e-M9p(S)       
V1354 Aql ,M5               
V1456 Aql ,M4               
V1953 Aql ,                 
V643 Aql  ,                 
LN Aql    ,                 
V618 Aql  ,                 
V631 Aql  ,                 
KT Aql    ,M5               
KU Aql    ,M5               
V1841 Aql ,                 
V617 Aql  ,                 
WY Aql    ,M3               
V602 Aql  ,A2               
AK Sge    ,                 
V343 Sge  ,                 
UW Sge    ,                 
AH Sge    ,                 
V1060 Aql ,                 
V1986 Aql ,                 
V1988 Aql ,                 
MM Aql    ,M8               
OZ Sge    ,M6               
PR Aql    ,                 
V1042 Aql ,                 
V1973 Aql ,                 
V1007 Aql ,                 
V463 Aql  ,                 
V1065 Aql ,                 
KS Aql    ,                 
KY Aql    ,                 
V943 Sco  ,                 
KV Sco    ,M6               
TV Oph    ,M2               
V2248 Oph ,                 
V2131 Oph ,                 
V2062 Oph ,K2e-K3e(T)       
V2394 Oph ,                 
V2307 Oph ,                 
V877 Sco  ,                 
V944 Sco  ,                 
V879 Sco  ,Me               
V860 Sco  ,Me               
V888 Sco  ,K                
V937 Sco  ,                 
V2245 Oph ,                 
V2247 Oph ,                 
V853 Oph  ,KVe(T)-M2e       
V2059 Oph ,K:e(T)           
V2246 Oph ,                 
V2130 Oph ,                 
V2129 Oph ,                 
V2058 Oph ,K5-K7e(T)        
V2252 Oph ,                 
V2837 Oph ,K3               
V935 Sco  ,                 
V2304 Oph ,                 
V2503 Oph ,                 
V1159 Sco ,                 
V2251 Oph ,                 
V876 Sco  ,ea               
V1330 Sco ,K5Ve             
T Sco     ,                 
S Sco     ,M(3)e            
V2826 Oph ,                 
ZZ Sco    ,Me               
XZ Sco    ,                 
V898 Sco  ,M0e              
V942 Sco  ,                 
V955 Sco  ,                 
AX Sco    ,M6               
WZ Sco    ,                 
AU Sco    ,                 
V725 Sco  ,                 
XX Sco    ,M4e              
WX Sco    ,                 
WY Sco    ,F0               
V1582 Sco ,                 
V878 Sco  ,ea               
V941 Sco  ,                 
V939 Sco  ,                 
V940 Sco  ,                 
V961 Sco  ,                 
CH Sco    ,                 
AV Sco    ,                 
YZ Sco    ,M3ea             
AT Sco    ,Me               
V934 Sco  ,                 
V1331 Sco ,F2IV:            
V972 Sco  ,                 
V896 Sco  ,                 
V895 Sco  ,cont+e(T)        
BO Sco    ,                 
BP Sco    ,ea               
V886 Sco  ,                 
V1694 Sco ,Me               
V953 Sco  ,                 
BQ Sco    ,                 
sig Sco   ,B2III+O9.5V      
V869 Sco  ,                 
V1558 Cyg ,C(N)             
VV Cyg    ,                 
V1227 Cyg ,                 
V2770 Cyg ,                 
